user_id,coins
357279142640746497,3039
608315058761629707,100
132632564425949185,2
425038062335164427,101
496103787120033813,101
466034898810175499,102
667101946213302283,1004
739124119601283123,602
548251858494554131,100
337511371023581185,7
663740269346291714,600
528748529703976970,600
341743823933800458,2101
469947157382955008,113
358364026805288960,100
425768825791709194,11
294632824923750410,105
329490410055401473,100
288041588528119819,600
368894538808557569,100
394264053175812096,100
1001582389367148614,101
457155547347812354,100
403400560390307863,100
456966071639867395,100
758508537692291102,536
321727802766524417,100
500024887302291466,0
347503746835546134,500
790574639876538388,594
835272049768661012,100
470374200054382604,246287
232041680017031168,0
685808547530932234,50
317061470913298435,100
